track_id,track_name,artist_name,genre,tempo,energy,valence,acousticness,popularity,genre_code
6KwkVtXm8OUp2XffN5k7lY,No Other Name,Hillsong Worship,world_music,0.5172113510366302,0.596349067686839,0.04441004158698358,0.005130522088353414,0.5154639175257731,1.0
75hT0hvlESnDJstem0JgyR,Merry Christmas,Bryan Adams,rock,0.3247044528263676,0.5089917763653341,0.6023434417023342,0.4076305220883535,0.0,0.9
2zQt5C0AIv27RhfJCRZdZ4,"Jah Jah Revolta, Pt. 2",BaianaSystem,world_music,0.496833151912513,0.7991786406402185,0.5871657104695989,0.006335341365461847,0.3917525773195876,1.0
1LDQFdGTEXOnycDC8CJ5p1,A Form of Protest,Cane Hill,rock,0.23630104042730932,0.9327248446144731,0.19355654716732942,8.775100401606425e-06,0.5567010309278351,0.9
4ifiz8TRTNdG9ORNWh2P0Q,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,Kacey Musgraves;Lana Del Rey,folk,0.4745715515277321,0.17964474701529254,0.3827722632020965,0.8323293172690763,0.0,0.4
5xWxnLpw8ooMW1nJwY2hui,時間がない,KIRINJI,pop,0.4059236007391843,0.673665291040355,0.6853150391079541,0.1244979919678715,0.0,0.8
5pq4v03P5PxMcnCagg4S3Z,In Case You Didn’t Know,Boyce Avenue,acoustic,0.5148570994608005,0.2961211354439658,0.34229831324813564,0.8363453815261044,0.6185567010309279,0.0
198v7BbjXn2GTeI4NkBN39,Vi Mamãe Oxum Na Cachoeira - Live,Mariene De Castro,world_music,0.41036883274687996,0.6957556405699309,0.821914620202572,0.7530120481927711,0.4020618556701031,1.0
0b11D9D0hMOYCIMN3OKreM,Into Your Arms (feat. Ava Max),Witt Lowry;Ava Max,pop,0.6287218692251221,0.7871293590786316,0.22795940462819617,0.013453815261044179,0.7938144329896907,0.8
2pXg8l1JGZ3hCyFqxirV13,Mocca,Lalo Ebratt;Trapical,world_music,0.2637723717186036,0.6947515337731319,0.5952605004603911,0.18373493975903615,0.0,1.0
3dJj6o9o1fRgrojWjailuz,Nobody Can Save Me,Linkin Park,rock,0.4764195124420929,0.6867186793987407,0.43538839814224567,0.0107429718875502,0.6288659793814433,0.9
36kDrsAPQ62bI32WPrlJew,Machine Spirit,ZITH;Misanthropix,edm,0.29938485684631544,0.9558193009408479,0.5183599955478655,0.00045983935742971893,0.17525773195876287,0.30000000000000004
1WhGXbgwPOTDPB4ZsJBIDG,Time To Jack,Chip E.,edm,0.3902134015138091,0.8624373688385496,0.7227534428153679,0.00024096385542168676,0.07216494845360824,0.30000000000000004
6NPTmYw2yMu0Oz0IJkoxeR,Mis Noches Te Recuerdan,Los Tukas,rock,0.3146343315697542,0.5722505045636652,0.8522700826680427,0.5853413654618473,0.3402061855670103,0.9
4bh9zPGpEX1yl9Do6rkhHr,Planet Zero,Shinedown,indie,0.5673898184947979,0.9638521553152392,0.2117698246466118,2.359437751004016e-05,0.0,0.6000000000000001
4zD9RBG51Lj8bnQwolLnyu,Wild Life,OneRepublic,classical,0.3549046907829785,0.7610225823618599,0.04977283995588339,0.00713855421686747,0.4639175257731959,0.2
7MiYNyj5si5yiWyeSkgzqB,Joda - Worakls Remix,Joachim Pastor;Worakls,edm,0.3501151811254841,0.6766776114307518,0.128798227240992,0.04006024096385542,0.5154639175257731,0.30000000000000004
6suU440DRXoxpLNKWf46XJ,O Resgate,Realidade Cruel,jazz_blues,0.5403792117054401,0.7308993784578927,0.43842394438879273,0.6244979919678715,0.4948453608247423,0.7000000000000001
5ueWiIP0QQcAqbMutT1Ng0,La Mala,Balbi El Chamako,world_music,0.6388780598941851,0.7861252522818326,0.3787248682067004,0.005923694779116466,0.4020618556701031,1.0
49Z1VQivkHoY5KGdUwMv5i,Silo (feat. fknsyd),RL Grime;Hex Cougar;fknsyd,edm,0.5776371414829253,0.9327248446144731,0.32712058201540034,0.06345381526104418,0.5670103092783505,0.30000000000000004
1WDDMw1k46OS4W2IGxmLzj,Ferxxo 100,Feid,pop,0.5976052451712528,0.5602012230020785,0.5729998279857126,0.25803212851405627,0.041237113402061855,0.8
5Iqh58mh9xHzOkXNorHibJ,Ruega por Mí (Prega Per Me),Estela Nuñez,rock,0.25582867124015896,0.40155234910785115,0.38783150694634166,0.8504016064257028,0.30927835051546393,0.9
5llrpUzc5oZ4U2RLruiDeI,Holding,Yonder Mountain String Band,folk,0.2976938460370099,0.7007761745539254,0.35241680073662585,0.8232931726907631,0.3402061855670103,0.4
0LoQuiekvzqx7n8flgEKzF,Get It On,T. Rex,jazz_blues,0.4087436397235653,0.8774989707905332,0.9190521000920782,0.17670682730923695,0.7319587628865979,0.7000000000000001
60an8Fb1pH1MniTxTlo2l9,Bloco do Carro Chefe,Mc Bruninho da Praia;Mc Kadu;MC GP;Mc Lele JP,jazz_blues,0.34091081689998226,0.4838891064453615,0.6418055429074462,0.1,0.4742268041237113,0.7000000000000001
5FPnjikbwlDMULCCCa6ZCJ,Daughters,John Mayer,acoustic,0.40015188719844064,0.4105893102790412,0.5062178105616773,0.8393574297188755,0.6907216494845361,0.0
5kVZxyMY1gfdCLiChsfjn1,Yo No Soy Celoso,Bad Bunny,world_music,0.48678328228235823,0.58630799971885,0.9382772263202096,0.2761044176706828,0.8762886597938144,1.0
2Fc99kfkQ1S2RilXcd6xIU,Quieren Efectos,Money Chicha,world_music,0.2569931397615371,0.7720677571266479,0.6013315929534853,0.17369477911646586,0.24742268041237114,1.0
